slug,domain,name_en,name_zh,products,category,founded_year,hq_city,certifications,target_markets,pricing_model,confidence,last_verified,canonical
gaoding-com,gaoding.com,Gaoding,稿定（厦门）科技有限公司,稿定设计|稿定AI|花瓣,design-saas,,"Xiamen, China",,,freemium,1.0,2026-06-11,https://sinofacts.com/companies/gaoding-com
gauthmath-com,gauthmath.com,Gauth,,,edtech,,,,United States,unknown,0.75,2026-06-11,https://sinofacts.com/companies/gauthmath-com
geelark-com,geelark.com,GeeLark,GeeLark,,other,,,,,unknown,0.667,2026-06-13,https://sinofacts.com/companies/geelark-com
geetest-com,geetest.com,GeeTest,极验,GeeTest Bot Management Platform|GeeTest CAPTCHA v4|Device Fingerprinting|Business Rules Engine,security,2012,,,Global,unknown,0.9,2026-06-12,https://sinofacts.com/companies/geetest-com
genspark-ai,genspark.ai,Genspark,,Genspark AI Workspace|Genspark Claw|Speakly,ai-agent,,,,Global|Korea|Japan|Brasil|France|Italia|Español,,0.857,2026-06-12,https://sinofacts.com/companies/genspark-ai
gitea-com,gitea.com,Gitea,,Gitea|Gitea Cloud|Gitea Enterprise|Gitea Actions Runner|Tea CLI,devtools,,,,,freemium,0.692,2026-06-12,https://sinofacts.com/companies/gitea-com
glority-com,glority.com,Glority LLC,,Smart ID|OCR API,ai-platform,2009,,,,unknown,1.0,2026-06-29,https://sinofacts.com/companies/glority-com
goenhance-ai,goenhance.ai,GoEnhance AI,右脑科技,GoEnhance AI,ai-video,,,,,freemium,1.0,2026-06-12,https://sinofacts.com/companies/goenhance-ai
goodnotes-com,goodnotes.com,Goodnotes,GoodNotes,Goodnotes,ai-productivity,,,,Global,freemium,0.917,2026-06-12,https://sinofacts.com/companies/goodnotes-com
gptbots-ai,gptbots.ai,GPTBots,GPTBots(极光),GPTBots,ai-agent,,Hong Kong,ESOF|ISO 27001|ISO 27701|SOC 2 Type II,Global,,0.833,2026-06-12,https://sinofacts.com/companies/gptbots-ai
gpustack-ai,gpustack.ai,,,GPUStack,ai-infra,,,,,,0.625,2026-06-12,https://sinofacts.com/companies/gpustack-ai
greptime-com,greptime.com,Greptime,格睿科技,GreptimeDB,data-infra,,,,,freemium,0.909,2026-06-12,https://sinofacts.com/companies/greptime-com
hailuoai-com,hailuoai.com,Hailuo AI,海螺AI,,ai-video,,,,,unknown,0.857,2026-06-15,https://sinofacts.com/companies/hailuoai-com
hailuoai-video,hailuoai.video,Hailuo AI,海螺AI,Hailuo AI,ai-video,,,,,freemium,0.778,2026-06-28,https://sinofacts.com/companies/hailuoai-video
halo-run,halo.run,Halo,凌霞（深圳）软件有限公司,Halo,devtools,2022,"Shenzhen, China",,,unknown,1.0,2026-06-13,https://sinofacts.com/companies/halo-run
heygen-com,heygen.com,HeyGen,,HeyGen|HeyGen API,ai-video,,"Los Angeles, US",GDPR|SOC 2 TYPE II|CCPA|AI ACT|DPF,Global,freemium,1.0,2026-06-14,https://sinofacts.com/companies/heygen-com
higress-io,higress.io,Higress,Higress,Higress AI Gateway|云原生API网关,api-gateway,,,,Global|China,freemium,1.0,2026-06-13,https://sinofacts.com/companies/higress-io
hillstonenet-com,hillstonenet.com,Hillstone Networks,山石网科,Next Generation Firewalls|Data Center NGFW|Network Intrusion Prevention System|Hillstone CloudEdge|Hillstone CloudHive|Hillstone CloudArmour|Breach Detection System|Data Loss Prevention|Application Delivery Controller|Web Application Firewall,security,,,,Global,unknown,1.0,2026-06-12,https://sinofacts.com/companies/hillstonenet-com
hitpaw-com,hitpaw.com,HitPaw,,HitPaw VikPea|HitPaw Univd|HitPaw Edimakor|HitPaw FotorPea|HitPaw VoicePea,design-saas,,,,Global,freemium,1.0,2026-06-12,https://sinofacts.com/companies/hitpaw-com
hix-ai,hix.ai,HIX.AI,,HIX AI,ai-writing,,Singapore,,,freemium,0.727,2026-06-19,https://sinofacts.com/companies/hix-ai
homestyler-com,homestyler.com,Homestyler,居然设计家(上海)科技有限公司,Homestyler,design-saas,2009,"Shanghai, China",ISO27001,Global,freemium,0.933,2026-06-12,https://sinofacts.com/companies/homestyler-com
hpc-ai-com,hpc-ai.com,HPC-AI Tech,潞晨科技,HPC-AI Cloud,ai-infra,,"Beijing, China",,Global,usage-based,0.786,2026-06-12,https://sinofacts.com/companies/hpc-ai-com
huaweicloud-com,huaweicloud.com,Huawei Cloud,华为云,Huawei Cloud|Elastic Cloud Server (ECS)|Object Storage Service (OBS)|GaussDB|ModelArts|CodeArts|MaaS,infrastructure,,,ISO 22301:2019|ISO 27001:2022|SOC 2 Type II|PCI DSS|CSA STAR Gold|网络安全等级保护,Global,unknown,1.0,2026-06-12,https://sinofacts.com/companies/huaweicloud-com
hubstudio-com,hubstudio.com,Hubstudio,Hubstudio,Hubstudio,other,,"Fuzhou, China",,,,0.727,2026-06-13,https://sinofacts.com/companies/hubstudio-com
hyper3d-ai,hyper3d.ai,Hyper3D,,Rodin,ai-image,,,,,unknown,1.0,2026-06-28,https://sinofacts.com/companies/hyper3d-ai
iflytek-com,iflytek.com,iFLYTEK,科大讯飞,AINOTE Air 2|AINOTE 2|AI Recorder S6|Smart Recorder|Smart Recorder Pro|Smart Translator|iFLYTEK Translate SaaS|Spark Smart Blackboard|Deepting|Smart Dictionary Pen,ai-platform,1999,,CCRC information security certification|IT product information security certificate,Asia|North America|Europe|Oceania,unknown,1.0,2026-06-24,https://sinofacts.com/companies/iflytek-com
immersivetranslate-com,immersivetranslate.com,Immersive Translate,沉浸式翻译,Immersive Translate|BabelDOC,ai-translation,,,,Global,,0.8,2026-06-19,https://sinofacts.com/companies/immersivetranslate-com
imyfone-com,imyfone.com,iMyFone,,D-Back|LockWiper|Fixppo|AnyTo|MirrorTo|UltraRepair|Filme|MarkGo|AnySmall|iMyTrans|ChatsBack,design-saas,,,,Global,,0.875,2026-06-12,https://sinofacts.com/companies/imyfone-com
infinilabs-com,infinilabs.com,INFINI Labs,极限科技,INFINI Console|INFINI Gateway|INFINI Loadgen|INFINI Agent|Coco AI App|INFINI Pizza,data-infra,,,,,unknown,0.875,2026-06-12,https://sinofacts.com/companies/infinilabs-com
inshot-com,inshot.com,InShot,影笑科技,InShot,ai-video,,,,Global,,0.75,2026-06-12,https://sinofacts.com/companies/inshot-com
insmind-com,insmind.com,insMind,,insMind,ai-image,,,,,unknown,0.833,2026-06-12,https://sinofacts.com/companies/insmind-com
intl-yonyou-com,intl.yonyou.com,Yonyou,用友,,erp-saas,,,,,unknown,1.0,2026-06-11,https://sinofacts.com/companies/intl-yonyou-com
ipaylinks-com,ipaylinks.com,iPayLinks,,iPayLinks艾贝盈,other,2015,Hong Kong,PCI-DSS|ISO27001|网络安全等级保护,Global,unknown,0.8,2026-06-12,https://sinofacts.com/companies/ipaylinks-com
isales-ai-com,isales-ai.com,iSales,光年触达（上海）科技有限公司,iSales|iMarketing,other,,"Shanghai, China",,Global,unknown,0.889,2026-06-30,https://sinofacts.com/companies/isales-ai-com
ixbrowser-com,ixbrowser.com,IXBrowser,,ixBrowser,ecommerce-saas,,,,Global,freemium,0.889,2026-06-13,https://sinofacts.com/companies/ixbrowser-com
jijiaerp-com,jijiaerp.com,Jijia ERP,积加ERP,积加ERP|积加电商中台|积加BI与数仓,ecommerce-saas,,"Shenzhen, China",国家信息安全等级保护认证,Global,unknown,1.0,2026-06-12,https://sinofacts.com/companies/jijiaerp-com
jina-ai,jina.ai,Jina AI,,Reader API|Embeddings API|Reranker API|DeepSearch|Elastic Inference Service,ai-search,,,,Global,freemium,1.0,2026-06-25,https://sinofacts.com/companies/jina-ai
jobright-ai,jobright.ai,Jobright,Jobright,Jobright,ai-productivity,,,,United States,unknown,0.889,2026-06-12,https://sinofacts.com/companies/jobright-ai
js-design,js.design,JSdesign,即时设计,即时设计,design-saas,,,,China,free,0.917,2026-06-13,https://sinofacts.com/companies/js-design
juicefs-com,juicefs.com,Juicedata,Juicedata,JuiceFS|JuiceFS Community Edition|JuiceFS Cloud Service|JuiceFS Enterprise Edition,data-infra,2017,,SOC2,,,0.867,2026-06-12,https://sinofacts.com/companies/juicefs-com
jumpserver-com,jumpserver.com,JumpServer,飞致云,JumpServer,security,,,,Global,freemium,1.0,2026-06-12,https://sinofacts.com/companies/jumpserver-com
juphoon-com,juphoon.com,Juphoon,菊风,视频能力平台|IoT智能硬件|实时音视频SDK|全球云通信服务|5G消息|菊风云会议|RCS SDK,infrastructure,,,CMMI5|ISO9001|ISO20000|ISO27001|GSMA UP 2.0,Global,unknown,1.0,2026-06-12,https://sinofacts.com/companies/juphoon-com
kalodata-com,kalodata.com,Kalodata,,Kalodata|Kaloboost|Kaloclip|KaloPilot,bi-saas,,,,,unknown,1.0,2026-06-12,https://sinofacts.com/companies/kalodata-com
kanaries-net,kanaries.net,Kanaries,Kanaries,PyGWalker|Graphic Walker Desktop|GWalkR|Graphic Walker Component|RunCell,bi-saas,,,,,,0.714,2026-06-12,https://sinofacts.com/companies/kanaries-net
kimi-com,kimi.com,Kimi,Kimi,Kimi,ai-llm,,,,,unknown,1.0,2026-06-30,https://sinofacts.com/companies/kimi-com
kingdee-com,kingdee.com,Kingdee,金蝶,Kingdee Cloud ERP|Kingdee Financial Cloud|Kingdee AI Suite|Kingdee Collaboration Cloud,erp-saas,,,,Global,unknown,0.889,2026-06-23,https://sinofacts.com/companies/kingdee-com
kiriengine-app,kiriengine.app,KIRI Innovation,,KIRI Engine,other,,,,,freemium,0.7,2026-06-12,https://sinofacts.com/companies/kiriengine-app
klingai-com,klingai.com,Kling AI,可灵AI,Kling AI Creative Studio,ai-video,,,,,unknown,1.0,2026-06-15,https://sinofacts.com/companies/klingai-com
koderover-com,koderover.com,KodeRover,KodeRover,Zadig,devtools,,,,,,0.857,2026-06-13,https://sinofacts.com/companies/koderover-com
kreadoai-com,kreadoai.com,KreadoAI,KreadoAI,KreadoAI,ai-avatar,,,,Global,freemium,0.75,2026-06-12,https://sinofacts.com/companies/kreadoai-com
kubesphere-io,kubesphere.io,QingCloud,青云科技,KubeSphere Container Platform,infrastructure,,,,,freemium,1.0,2026-06-12,https://sinofacts.com/companies/kubesphere-io
kyligence-io,kyligence.io,Kyligence,跬智信息,Kyligence Zen|Kyligence Enterprise|Kyligence Copilot,bi-saas,2016,"Shanghai, China",SOC2 Type II|SOC2 Type I|ISO27001|ISO9001,Global,unknown,1.0,2026-06-12,https://sinofacts.com/companies/kyligence-io
laiye-com,laiye.com,Laiye,来也科技,,ai-automation,2015,,,,unknown,0.818,2026-06-21,https://sinofacts.com/companies/laiye-com
lalicat-com,lalicat.com,Lalicat,,Lalicat Antidetect Browser,ecommerce-saas,,Hong Kong,,,subscription,0.9,2026-06-13,https://sinofacts.com/companies/lalicat-com
larksuite-com,larksuite.com,Lark,,Lark,enterprise-saas,,,,,,0.625,2026-06-22,https://sinofacts.com/companies/larksuite-com
layabox-com,layabox.com,Layabox,北京蓝亚盒子科技有限公司,LayaAir|LayaIdea|Layaverse|LayaMe|LayaMetaX|FairyGUI,devtools,,"Beijing, China",,,,1.0,2026-06-13,https://sinofacts.com/companies/layabox-com
leadscloud-com,leadscloud.com,Leads Cloud,询盘云,询盘云Marketing CRM|询多多,crm,2017,"Beijing, China",,Global,unknown,0.929,2026-06-12,https://sinofacts.com/companies/leadscloud-com
lianlianglobal-com,lianlianglobal.com,LianLian Global,,Global Accounts|Global Payouts|Global Payins|Virtual Credit Card|LooperBuy,other,,,,Global,unknown,0.667,2026-06-12,https://sinofacts.com/companies/lianlianglobal-com
lingxing-com,lingxing.com,Lingxing,领星ERP,领星ERP|领星WMS|星拓广告|Track123|领星BI,ecommerce-saas,2017,"Shenzhen, China",ISO27001|国家信息等级保护认证,Global,unknown,1.0,2026-06-12,https://sinofacts.com/companies/lingxing-com
linke-ai,linke.ai,Linky,Linky(昆仑万维),Linky,ai-companion,,,,,unknown,1.0,2026-06-12,https://sinofacts.com/companies/linke-ai
live3d-io,live3d.io,Live3D,,VTuber Maker|VTuber Editor|VTuber Gallery|VTuber Extension|VMotion,ai-avatar,,,,Global,freemium,0.9,2026-06-12,https://sinofacts.com/companies/live3d-io
lobehub-com,lobehub.com,LobeHub,LobeHub,LobeHub,ai-agent,,,,,unknown,1.0,2026-06-12,https://sinofacts.com/companies/lobehub-com
logto-io,logto.io,Logto,Logto,Logto,security,,,SOC2,Global,usage-based,1.0,2026-06-12,https://sinofacts.com/companies/logto-io
lovart-ai,lovart.ai,Lovart,Lovart,Lovart,ai-agent,,,,,freemium,0.778,2026-06-12,https://sinofacts.com/companies/lovart-ai
lowcoder-cloud,lowcoder.cloud,Lowcoder,,Lowcoder,devtools,,,,,freemium,1.0,2026-06-13,https://sinofacts.com/companies/lowcoder-cloud
mabangerp-com,mabangerp.com,Mabang ERP,马帮ERP,马帮ERP|马帮WMS|马帮TMS|马帮数据中台|马帮MES加工系统,ecommerce-saas,,"Shanghai, China",ISO27001|SOC|国家信息等级保护认证,Global,unknown,0.929,2026-06-12,https://sinofacts.com/companies/mabangerp-com
magictiger-ai,magictiger.ai,PicMa,PicMa,PicMa,ai-image,,,,,unknown,1.0,2026-06-12,https://sinofacts.com/companies/magictiger-ai
mangoerp-com,mangoerp.com,,芒果店长,,ecommerce-saas,2014,"Hangzhou, China",,Global,freemium,0.714,2026-06-12,https://sinofacts.com/companies/mangoerp-com
manus-ai,manus.ai,Manus,蝴蝶效应,Manus,ai-agent,,,,Global,,0.909,2026-06-20,https://sinofacts.com/companies/manus-ai
manus-im,manus.im,Manus,,Manus,ai-agent,,,,Global,unknown,1.0,2026-06-14,https://sinofacts.com/companies/manus-im
mastergo-com,mastergo.com,MasterGo,莫高设计,MasterGo,design-saas,,"Beijing, China",,,freemium,1.0,2026-06-13,https://sinofacts.com/companies/mastergo-com
matrixorigin-io,matrixorigin.io,MatrixOrigin,矩阵起源,MatrixOne|MatrixOne Intelligence|Astra|Memoria,database,,,,,,0.778,2026-06-12,https://sinofacts.com/companies/matrixorigin-io
maxkb-cn,maxkb.cn,MaxKB,MaxKB,,devtools,,,,,unknown,0.6,2026-06-13,https://sinofacts.com/companies/maxkb-cn
me-bot,me.bot,Me.bot,心识宇宙,Second Me,ai-companion,,,,,freemium,0.8,2026-06-12,https://sinofacts.com/companies/me-bot
meitu-com,meitu.com,Meitu Inc.,美图,Meitu|BeautyCam|Wink|Picchi|Designkit|Kaipai|Kumoo|ZCOOL|WHEE|RoboNeo|MVLAND|MeituHub|EveLab Insight|Meitu AI Open Platform|MT Lab,ai-image,,"Xiamen, China",,Global,unknown,0.889,2026-06-28,https://sinofacts.com/companies/meitu-com
memfiredb-com,memfiredb.com,MemFire,MemFire,MemFireDB|MemFire Cloud,database,,,,,freemium,0.9,2026-06-13,https://sinofacts.com/companies/memfiredb-com
meshy-ai,meshy.ai,Meshy,Meshy,Meshy,ai-image,,,ISO27001|SOC2|GDPR,Global,freemium,1.0,2026-06-12,https://sinofacts.com/companies/meshy-ai
minimax-io,minimax.io,MiniMax,,MiniMax Agent|MiniMax Code|Hailuo AI|MiniMax Audio|Talkie|MiniMax API,ai-llm,2022,,,Global,,0.778,2026-06-15,https://sinofacts.com/companies/minimax-io
mintegral-com,mintegral.com,Mintegral,汇量科技,AppGrowth|Retargeting|Monetization|Mindworks,martech,,,SOC 2,Global|North America|China,unknown,0.833,2026-06-24,https://sinofacts.com/companies/mintegral-com
mobvista-com,mobvista.com,Mobvista,,Mintegral|GameAnalytics|Nativex|Mindworks|Playturbo|XMP|SolarEngine,martech,2013,,SOC2|ISO27001|ePrivacyseal|kidSAFE,Global,unknown,1.0,2026-06-13,https://sinofacts.com/companies/mobvista-com
mobvoi-com,mobvoi.com,Mobvoi,,TicNote AI Notetaker|TicWatch|Moyin Workshop|DupDub|Sequence Monkey,other,,Hong Kong,,Global,unknown,0.857,2026-06-13,https://sinofacts.com/companies/mobvoi-com
mockplus-com,mockplus.com,Mockplus,摹客,Mockplus RP|Mockplus Cloud|Mockplus DT|Mockplus 3 Offline,design-saas,,,,,freemium,1.0,2026-06-12,https://sinofacts.com/companies/mockplus-com
modao-cc,modao.cc,Modao,墨刀,墨刀原型|墨刀白板|墨刀设计|墨刀AI|墨刀AIPPT|墨刀流程图,design-saas,2014,"Beijing, China",,,freemium,1.0,2026-06-13,https://sinofacts.com/companies/modao-cc
modelbest-cn,modelbest.cn,ModelBest,面壁智能,MiniCPM|MiniCPM-V|VoxCPM|松果派 Pinea|兰台令 Lantay,ai-llm,,"Beijing, China",ASPICE L2,Global,freemium,1.0,2026-06-26,https://sinofacts.com/companies/modelbest-cn
moego-pet,moego.pet,MoeGo,,MoeGo,saas,,,,US|GB|CA|AU,subscription,0.909,2026-06-13,https://sinofacts.com/companies/moego-pet
mokahr-io,mokahr.io,MokaHR,Moka,Moka ATS,hr-saas,,,,Asia-Pacific|Global,unknown,1.0,2026-06-29,https://sinofacts.com/companies/mokahr-io
momen-app,momen.app,Momen,Momen(函子科技),Momen,ai-coding,2019,,,,unknown,0.846,2026-06-12,https://sinofacts.com/companies/momen-app
monica-im,monica.im,Monica,,Monica,ai-productivity,,,,Global,freemium,0.8,2026-06-18,https://sinofacts.com/companies/monica-im
mootion-com,mootion.com,Mootion,,Mootion,ai-video,,,,Global,subscription,1.0,2026-06-12,https://sinofacts.com/companies/mootion-com
morelogin-com,morelogin.com,MoreLogin,MoreLogin,MoreLogin Antidetect Browser|MoreLogin Cloud Phone,ecommerce-saas,,"Hong Kong, China",,,freemium,0.929,2026-06-13,https://sinofacts.com/companies/morelogin-com
morphstudio-com,morphstudio.com,Morph Studio,,Morph Studio,ai-video,,,,,freemium,0.875,2026-06-12,https://sinofacts.com/companies/morphstudio-com
motiff-com,motiff.com,Motiff,妙多,Motiff AI,design-saas,,,,,freemium,0.889,2026-06-12,https://sinofacts.com/companies/motiff-com
mureka-ai,mureka.ai,Mureka,,Mureka,ai-audio,,,,,freemium,0.8,2026-06-19,https://sinofacts.com/companies/mureka-ai
myscale-com,myscale.com,MyScale,墨奇科技,MyScale,database,,,,,unknown,1.0,2026-06-12,https://sinofacts.com/companies/myscale-com
nativex-com,nativex.com,Nativex,汇量科技,Nativex,martech,,,,,unknown,1.0,2026-06-24,https://sinofacts.com/companies/nativex-com
navicat-com,navicat.com,PremiumSoft CyberTech Ltd,卓软数码科技,Navicat|Navicat Premium|Navicat Data Modeler|Navicat BI|Navicat On-Prem Server|Navicat Monitor,devtools,1999,Hong Kong,GDPR,Global,,0.867,2026-06-12,https://sinofacts.com/companies/navicat-com
nebula-graph-io,nebula-graph.io,Vesoft Inc.,,NebulaGraph Database|NebulaGraph Analytics|NebulaGraph Cloud|NebulaGraph AI AP,graph-database,2018,"Hangzhou, China",,Global,freemium,1.0,2026-06-26,https://sinofacts.com/companies/nebula-graph-io
neusoft-com,neusoft.com,Neusoft,东软集团,OneCoreGo|RealOne Suite|Data Middle Platform|NAGIVI|NAGIC|One Mate|One Map|One Sight|One Cloud|One Guard|One Pay|One Store,enterprise-software,1991,,,Global,unknown,1.0,2026-06-25,https://sinofacts.com/companies/neusoft-com
nocobase-com,nocobase.com,NocoBase,,NocoBase,devtools,,,,,freemium,0.917,2026-06-12,https://sinofacts.com/companies/nocobase-com
notegpt-io,notegpt.io,NoteGPT,,NoteGPT,ai-productivity,,,ISO27001|SOC2,Global,freemium,1.0,2026-06-12,https://sinofacts.com/companies/notegpt-io
notta-ai,notta.ai,Notta,,Notta|Notta Brain,ai-productivity,2022,"Tokyo, Japan",SOC2|ISO27001|HIPAA|GDPR|APPI|CCPA,Japan|Global,freemium,1.0,2026-06-19,https://sinofacts.com/companies/notta-ai
novita-ai,novita.ai,Novita AI,Novita AI,Model APIs|Agent Sandbox|GPU Cloud,ai-infra,,,,,usage-based,0.909,2026-06-12,https://sinofacts.com/companies/novita-ai
nsfocusglobal-com,nsfocusglobal.com,NSFOCUS,绿盟科技,,security,,,,,unknown,0.6,2026-06-12,https://sinofacts.com/companies/nsfocusglobal-com
nstbrowser-io,nstbrowser.io,Nstbrowser,Nstbrowser,Nstbrowser Anti-Detect Browser|Nstbrowser RPA|AI Agent Skills,other,,,,,,0.727,2026-06-13,https://sinofacts.com/companies/nstbrowser-io
nxcloud-com,nxcloud.com,NXCLOUD,牛信云,SMS OTP|Marketing SMS|SMS Notification|Email OTP|Voice OTP|Voice Notification|SIP Trunk|Super Messaging|WhatsApp Business|Viber Business|Zalo Business|Fraud Protector|OTA|Number Check|Privacy Number|DID Numbers|Two-Way International SMS|NXLINK,devtools,,,,Global,unknown,0.833,2026-06-12,https://sinofacts.com/companies/nxcloud-com
oceanbase-com,oceanbase.com,OceanBase,奥星贝斯,OceanBase,database,,,,,,0.75,2026-06-11,https://sinofacts.com/companies/oceanbase-com
oceanpayment-com,oceanpayment.com,Oceanpayment,Oceanpayment,Oceanpayment Payment Gateway|Oceanpayment Card|OPCCOUNT,fintech,,"Hong Kong, China",,Global,unknown,0.909,2026-06-13,https://sinofacts.com/companies/oceanpayment-com
okki-com,okki.com,OKKI,小满科技OKKI,OKKI CRM|OKKI AiReach|OKKI Shops,crm,2013,"Shenzhen, China",,,unknown,1.0,2026-06-12,https://sinofacts.com/companies/okki-com
omnichat-ai,omnichat.ai,Omnichat,,Omnichat,crm,2017,,,Global|Asia Pacific,,0.75,2026-06-12,https://sinofacts.com/companies/omnichat-ai
onerway-com,onerway.com,ONERWAY,万唯Onerway,Payments Acceptance|Payouts|Embedded Finance|Card Issuing|SoftPOS,fintech-saas,2017,,PCI-DSS,Global,unknown,1.0,2026-06-12,https://sinofacts.com/companies/onerway-com
ones-com,ones.com,ONES,,ONES|ONES Project|ONES Wiki|ONES Assistant,other,2015,,SOC2|ISO27001|ISO9001|ISO20000|ISO27018|GDPR|CMMI Level 5,,unknown,0.8,2026-06-20,https://sinofacts.com/companies/ones-com
openart-ai,openart.ai,OpenArt,OpenArt,OpenArt,ai-image,,,,Global,freemium,1.0,2026-06-12,https://sinofacts.com/companies/openart-ai
opencsg-com,opencsg.com,OpenCSG,开放传神,CSGHub|CSGShip,ai-infra,,,,,unknown,1.0,2026-06-13,https://sinofacts.com/companies/opencsg-com
openpie-com,openpie.com,OpenPie,杭州拓数派科技发展有限公司,PieDataCS|PieCloudDB|PieCloudVector|PieDataComputeFoundry|PieFPGA,database,,,,,unknown,1.0,2026-06-13,https://sinofacts.com/companies/openpie-com
openresty-com,openresty.com,OpenResty Inc.,,OpenResty XRay|OpenResty Edge,infrastructure,,"San Francisco Bay Area, United States",,,unknown,0.875,2026-06-12,https://sinofacts.com/companies/openresty-com
opus-pro,opus.pro,OpusClip,,OpusClip,ai-video,,,,,freemium,0.8,2026-06-16,https://sinofacts.com/companies/opus-pro
pacdora-com,pacdora.com,Pacdora,包小盒,Pacdora,design-saas,,,,,freemium,1.0,2026-06-12,https://sinofacts.com/companies/pacdora-com
paradot-ai,paradot.ai,Paradot,Paradot,Paradot,ai-companion,,,,,unknown,1.0,2026-06-12,https://sinofacts.com/companies/paradot-ai
parcelpanel-com,parcelpanel.com,ParcelPanel,,ParcelWILL,logistics-saas,,,ISO27001|GDPR,,,0.769,2026-06-12,https://sinofacts.com/companies/parcelpanel-com
patsnap-com,patsnap.com,PatSnap,智慧芽,PatSnap Eureka Platform|PatSnap Eureka Desktop|Analytics|Synapse,bi-saas,,,ISO27001|SOC2,Global,unknown,1.0,2026-06-12,https://sinofacts.com/companies/patsnap-com
payermax-com,payermax.com,PayerMax,,Global Acquiring|Global Payout|Global Collection|Risk Management|FX Management|Fund Management,other,2018,,ISO/IEC 27001:2022|PCI DSS,Global,unknown,0.778,2026-06-12,https://sinofacts.com/companies/payermax-com
pdf-wondershare-com,pdf.wondershare.com,Wondershare,,PDFelement|PDFelement Cloud|PDFelement Online,enterprise-saas,,,ISO 27001,,enterprise,0.727,2026-06-23,https://sinofacts.com/companies/pdf-wondershare-com
pdfgear-com,pdfgear.com,PDFgear,,PDFgear|eSignGear,ai-productivity,,Singapore,,Global,free,1.0,2026-06-13,https://sinofacts.com/companies/pdfgear-com
pica-ai-com,pica-ai.com,Pica AI,Pica AI,Pica AI,ai-image,,,,,free,1.0,2026-06-12,https://sinofacts.com/companies/pica-ai-com
piccopilot-com,piccopilot.com,Pic Copilot,,Pic Copilot,other,,,,,freemium,0.667,2026-06-12,https://sinofacts.com/companies/piccopilot-com
piclumen-com,piclumen.com,PicLumen,,PicLumen|Naivideo,other,,"Chengdu, China",,,freemium,0.636,2026-06-12,https://sinofacts.com/companies/piclumen-com
picso-ai,picso.ai,PicSo,,PicSo,ai-image,,,,,freemium,0.75,2026-06-12,https://sinofacts.com/companies/picso-ai
picturethisai-com,picturethisai.com,PictureThis,形色,PictureThis,ai-image,,,,,unknown,1.0,2026-06-17,https://sinofacts.com/companies/picturethisai-com
