slug,domain,name_en,name_zh,products,category,founded_year,hq_city,certifications,target_markets,pricing_model,confidence,last_verified,canonical
picwish-com,picwish.com,PicWish,佐糖,PicWish,ai-image,,,ISO27001|ISO27701|GDPR,,freemium,0.818,2026-06-12,https://sinofacts.com/companies/picwish-com
pika-art,pika.art,Pika,Pika,Pika|Pika Agent|Pika MCP|Pika Video App,ai-video,,,,,unknown,0.833,2026-06-12,https://sinofacts.com/companies/pika-art
pingcap-com,pingcap.com,PingCAP,平凯星辰,TiDB|TiDB Cloud|TiKV,database,,,SOC2|PCI-DSS,,freemium,0.867,2026-06-11,https://sinofacts.com/companies/pingcap-com
pingpongx-com,pingpongx.com,PingPong,,PingPong Platform|PingPong Payments,other,2015,,SOC2|ISO27001|PCI-DSS|GDPR,Global,,0.727,2026-06-12,https://sinofacts.com/companies/pingpongx-com
pixai-art,pixai.art,PixAI,,PixAI,ai-image,,,,,freemium,1.0,2026-06-18,https://sinofacts.com/companies/pixai-art
pixso-net,pixso.net,Pixso,,Pixso|Boardmix|Presenti AI|Paico|Pixso AI,design-saas,,"Shenzhen, China",,Global,freemium,1.0,2026-06-27,https://sinofacts.com/companies/pixso-net
pixverse-ai,pixverse.ai,PixVerse,,PixVerse|PixVerse API,ai-video,,,,Global,unknown,1.0,2026-06-16,https://sinofacts.com/companies/pixverse-ai
pokee-ai,pokee.ai,Pokee AI,Pokee AI,Pokee AI|PokeeResearch,ai-agent,,"San Francisco, CA",,Global|North America|APAC|Europe,freemium,1.0,2026-06-12,https://sinofacts.com/companies/pokee-ai
pollo-ai,pollo.ai,Pollo AI,,Pollo AI|Pollo Agent,ai-video,,,,Global,freemium,1.0,2026-06-12,https://sinofacts.com/companies/pollo-ai
polybuzz-ai,polybuzz.ai,PolyBuzz,,PolyBuzz,ai-companion,,,,,freemium,1.0,2026-06-12,https://sinofacts.com/companies/polybuzz-ai
popai-pro,popai.pro,PopAi,,PopAi,ai-productivity,,Singapore,,,freemium,1.0,2026-06-29,https://sinofacts.com/companies/popai-pro
ppinfra-com,ppinfra.com,PPIO,派欧云计算（上海）有限公司,GPU Container Instance|Serverless GPUs|Large Language Model API|Image/Video Generation Model API|Agent Sandbox|Edge Node Service|Edge CDN,ai-infrastructure,2018,"Shanghai, China",,Global,usage-based,1.0,2026-06-13,https://sinofacts.com/companies/ppinfra-com
promeai-pro,promeai.pro,LibAI Lab,神采,PromeAI|Cutout Pro,design-saas,,,,Global,freemium,0.9,2026-06-12,https://sinofacts.com/companies/promeai-pro
qbitnetwork-com,qbitnetwork.com,Qbit,Qbit趣比汇,Qbit InstaPay|Global Acquirer|Global Account|Quantum Card|Particle Finance|BaaS|Qbit Acquiring|Qbit Virtual Card,other,2019,"Hangzhou, China",PCI-DSS,Global,unknown,0.8,2026-06-12,https://sinofacts.com/companies/qbitnetwork-com
qfpay-com,qfpay.com,QFPay,,,other,,Hong Kong,PCI-DSS,,unknown,0.778,2026-06-13,https://sinofacts.com/companies/qfpay-com
qoder-com,qoder.com,Qoder,,Qoder,ai-coding,2024,,,,free,0.778,2026-06-12,https://sinofacts.com/companies/qoder-com
questionai-com,questionai.com,Cloud Whale Interactive Technology LLC,,Question AI,edtech,,,,,freemium,1.0,2026-06-23,https://sinofacts.com/companies/questionai-com
quvideo-com,quvideo.com,QuVideo,小影科技,VivaVideo|VivaCut|mAst|AI Catch|Rythmix,ai-video,2012,"Hangzhou, China",,Global|India,unknown,0.909,2026-06-12,https://sinofacts.com/companies/quvideo-com
qwen-ai,qwen.ai,Qwen,通义千问,Qwen Studio,ai-llm,,,,,unknown,1.0,2026-06-12,https://sinofacts.com/companies/qwen-ai
ragflow-io,ragflow.io,RAGFlow,,RAGFlow,devtools,,,,,freemium,1.0,2026-06-27,https://sinofacts.com/companies/ragflow-io
rainbond-com,rainbond.com,Rainbond,Rainbond,Rainbond,infrastructure,,,,,freemium,1.0,2026-06-13,https://sinofacts.com/companies/rainbond-com
readdy-ai,readdy.ai,Readdy,Readdy,Readdy,design-saas,,,,,freemium,0.909,2026-06-12,https://sinofacts.com/companies/readdy-ai
redfinger-com,redfinger.com,Redfinger,,Redfinger Cloud Phone|Redfinger Pro,other,,,,,freemium,0.75,2026-06-13,https://sinofacts.com/companies/redfinger-com
refly-ai,refly.ai,Refly,,Refly,ai-agent,,,,,freemium,1.0,2026-06-12,https://sinofacts.com/companies/refly-ai
remaker-ai,remaker.ai,Remaker AI,Remaker,Remaker AI,ai-image,,,,Global,freemium,1.0,2026-06-12,https://sinofacts.com/companies/remaker-ai
reqable-com,reqable.com,Reqable,,Reqable,other,,,,,freemium,0.8,2026-06-13,https://sinofacts.com/companies/reqable-com
risingwave-com,risingwave.com,RisingWave Labs,,RisingWave|RisingWave Cloud,data-infra,2021,"San Francisco, USA",SOC2|GDPR|HIPAA,Global,usage-based,0.929,2026-06-12,https://sinofacts.com/companies/risingwave-com
rongcloud-io,rongcloud.io,RongCloud,融云,Nexconn|Chat SDK|Call SDK|Lyra,infrastructure,,,,Global,freemium,0.733,2026-06-12,https://sinofacts.com/companies/rongcloud-io
rustdesk-com,rustdesk.com,RustDesk,,RustDesk|RustDesk Server OSS|RustDesk Server Pro,other,,,,,freemium,0.778,2026-06-12,https://sinofacts.com/companies/rustdesk-com
safeheron-com,safeheron.com,Safeheron,,MPC Self-Custody|MPC Node Suite,security,2021,Singapore,ISO 27001:2022|SOC 2,,unknown,0.917,2026-06-12,https://sinofacts.com/companies/safeheron-com
salesmartly-com,salesmartly.com,SaleSmartly,SaleSmartly,SaleSmartly,crm,2021,"Guangzhou, China",ISO27001|ISO27701|CCRC,Global,freemium,1.0,2026-06-12,https://sinofacts.com/companies/salesmartly-com
sand-ai,sand.ai,Sand AI,Sand AI,Magi-1|Magi-1.1,ai-video,,,,,unknown,0.833,2026-06-12,https://sinofacts.com/companies/sand-ai
sangfor-com,sangfor.com,Sangfor Technologies,深信服,Sangfor HCI|Sangfor Cloud Platform|aDesk Virtual Desktop Infrastructure (VDI)|Athena Next-Generation Firewall (NGFW)|Athena Endpoint Protection Platform (EPP)|Athena Secure Web Gateway (SWG)|Athena Network Detection and Response (NDR)|Athena Extended Detection and Response (XDR)|Athena Managed Detection and Response (MDR)|Athena Secure Access Service Edge (SASE),security,,,,Global|APAC|EMEA|LATAM,,0.769,2026-06-12,https://sinofacts.com/companies/sangfor-com
scrapeless-com,scrapeless.com,Scrapeless,,Scraping Browser|Universal Scraping API|Proxy Solutions|Scraping API|Captcha Solver,devtools,,,,Global,usage-based,1.0,2026-06-13,https://sinofacts.com/companies/scrapeless-com
seaart-ai,seaart.ai,SeaArt,,SeaArt AI,ai-image,,,,,unknown,0.667,2026-06-18,https://sinofacts.com/companies/seaart-ai
sealos-io,sealos.io,Sealos,环界云计算,Sealos,infrastructure,2018,,,,subscription,1.0,2026-06-12,https://sinofacts.com/companies/sealos-io
selectdb-com,selectdb.com,SelectDB,SelectDB,SelectDB|SelectDB Cloud,database,,,CMMI Level 3|Classified Protection Level 3|ISO/IEC 27001:2022|ISO/IEC 27018:2019|ISO/IEC 27017:2015|Trusted Database Evaluation,,unknown,1.0,2026-06-13,https://sinofacts.com/companies/selectdb-com
sellersprite-com,sellersprite.com,SellerSprite,,SellerSprite|Shulex VOC,other,,,,Global,,0.583,2026-06-12,https://sinofacts.com/companies/sellersprite-com
sensetime-com,sensetime.com,SenseTime,商汤科技,SenseNova|SenseCore|SenseFoundry|Kapi Camera App|SenseAuto,ai-platform,,"Shanghai, China",,,unknown,0.7,2026-06-24,https://sinofacts.com/companies/sensetime-com
sensorsdata-com,sensorsdata.com,Sensors Data,神策数据,,bi-saas,,,,,,0.778,2026-06-12,https://sinofacts.com/companies/sensorsdata-com
shakker-ai,shakker.ai,Shakker AI,Shakker,Shakker AI,ai-image,,,,,,0.625,2026-06-12,https://sinofacts.com/companies/shakker-ai
shipout-com,shipout.com,ShipOut,,ShipOut WMS,logistics-saas,,,,,subscription,0.9,2026-06-13,https://sinofacts.com/companies/shipout-com
shopastro-com,shopastro.com,Shopastro,星盘跨境,Shopastro,ecommerce-saas,2021,"Hangzhou, China",,Global,,0.833,2026-06-12,https://sinofacts.com/companies/shopastro-com
shoplazza-com,shoplazza.com,Shoplazza,,Shoplazza,other,,,,Global,subscription,0.667,2026-06-12,https://sinofacts.com/companies/shoplazza-com
shopline-com,shopline.com,SHOPLINE,,SHOPLINE,other,,,,Global,unknown,0.727,2026-06-12,https://sinofacts.com/companies/shopline-com
shopyy-com,shopyy.com,SHOPYY,,SHOPYY|IMCART|海豚出海,ecommerce-saas,2007,"Xiamen, China",,Global,,0.733,2026-06-12,https://sinofacts.com/companies/shopyy-com
sider-ai,sider.ai,Sider,,Sider|Wisebase,ai-productivity,,,,Global,,0.75,2026-06-12,https://sinofacts.com/companies/sider-ai
siliconflow-com,siliconflow.com,SiliconFlow,硅基流动,SiliconFlow AI Cloud,ai-infra,,,,,usage-based,0.889,2026-06-12,https://sinofacts.com/companies/siliconflow-com
skywork-ai,skywork.ai,Skywork AI,天工AI,Skywork,ai-agent,,,,,unknown,0.857,2026-06-20,https://sinofacts.com/companies/skywork-ai
sleekflow-io,sleekflow.io,SleekFlow,SleekFlow,SleekFlow|AgentFlow,crm,,,,Global,unknown,0.909,2026-06-12,https://sinofacts.com/companies/sleekflow-io
slowmist-com,slowmist.com,SlowMist,,MistTrack|SlowMist KYT|MistEye|SlowMist Hacked|SlowMist AI,security,2018,,ISO27001,Global,unknown,0.714,2026-06-12,https://sinofacts.com/companies/slowmist-com
sobot-io,sobot.io,Sobot,,Sobot Contact Center,crm,,,GDPR,Global,unknown,0.833,2026-06-12,https://sinofacts.com/companies/sobot-io
solvely-ai,solvely.ai,Solvely,,Solvely,edtech,,,,Global,freemium,1.0,2026-06-12,https://sinofacts.com/companies/solvely-ai
sphere-ex-com,sphere-ex.com,SphereEx,,SphereEx-DBPlusEngine|SphereEx-Tools|SphereEx-Services,database,2021,,,Global,unknown,1.0,2026-06-12,https://sinofacts.com/companies/sphere-ex-com
squirrelai-com,squirrelai.com,Squirrel Ai Learning,松鼠AI,Squirrel Ai,edtech,,,,Global|United States,,0.727,2026-06-12,https://sinofacts.com/companies/squirrelai-com
stepfun-ai,stepfun.ai,StepFun,,阶跃AI|StepClaw|Step Audio Studio,ai-llm,,,,,unknown,0.857,2026-06-26,https://sinofacts.com/companies/stepfun-ai
streamnative-io,streamnative.io,StreamNative,,StreamNative Cloud|Lakestream|Agent Engine|Managed Apache Flink,infrastructure,,,,,usage-based,1.0,2026-06-21,https://sinofacts.com/companies/streamnative-io
strikingly-com,strikingly.com,Strikingly,上线了,Strikingly,devtools,,,,Global,freemium,0.923,2026-06-12,https://sinofacts.com/companies/strikingly-com
style3d-com,style3d.com,Style3D,凌迪科技,Style3D AI|Style3D Studio|Style3D Fabric|Assyst CAD|Style3D Cloud,ai-image,,,,Global,unknown,1.0,2026-06-12,https://sinofacts.com/companies/style3d-com
sunrate-com,sunrate.com,SUNRATE,寻汇SUNRATE,International Payments|Commercial Cards|Global Collection|Global Acquiring|Treasury Solutions,fintech-saas,,,PCI-DSS,Global,unknown,0.9,2026-06-12,https://sinofacts.com/companies/sunrate-com
tabbyml-com,tabbyml.com,TabbyML,,Tabby,ai-coding,,,,Global,freemium,1.0,2026-06-12,https://sinofacts.com/companies/tabbyml-com
tacnode-io,tacnode.io,Tacnode,,Tacnode Context Lake,other,,,,,usage-based,0.875,2026-06-12,https://sinofacts.com/companies/tacnode-io
taichi-graphics,taichi.graphics,Taichi Graphics,,Taichi Lang|Taichi NeRF,ai-infra,,,,Global,unknown,0.889,2026-06-13,https://sinofacts.com/companies/taichi-graphics
talkie-ai-com,talkie-ai.com,Talkie,星野,Talkie AI,ai-companion,,,,,unknown,1.0,2026-06-18,https://sinofacts.com/companies/talkie-ai-com
tapdata-io,tapdata.io,Tapdata,钛铂数据,TapData Cloud|TapData Enterprise|TapData Community,data-infra,,,,,freemium,0.875,2026-06-12,https://sinofacts.com/companies/tapdata-io
tdengine-com,tdengine.com,TDengine,涛思数据,TDengine Historian|TDengine TSDB,data-infra,,,SOC2|ISO27001,,,0.909,2026-06-12,https://sinofacts.com/companies/tdengine-com
teable-ai,teable.ai,Teable,,Teable,devtools,2023,,ISO9001|ISO27001,,freemium,1.0,2026-06-12,https://sinofacts.com/companies/teable-ai
tensor-art,tensor.art,Tensor.Art,回响科技,Tensor.Art|Tensor AI,ai-image,,,,,free,0.8,2026-06-11,https://sinofacts.com/companies/tensor-art
tensorchord-ai,tensorchord.ai,TensorChord,,envd|ModelZ,ai-infra,,,,,unknown,1.0,2026-06-13,https://sinofacts.com/companies/tensorchord-ai
tezign-com,tezign.com,Tezign,特赞,Generative Enterprise Agent (GEA)|System of Context|MuseDAM|atypica.AI|Clipo,other,2015,"Shanghai, China",,Global,unknown,0.833,2026-06-13,https://sinofacts.com/companies/tezign-com
threatbook-io,threatbook.io,ThreatBook,微步在线,ThreatBook ATI|ThreatBook TDP|DRPS|Flocks|SafeSkill|OneDNS|ThreatBook Investigator,security,2015,,,APAC|Global,unknown,1.0,2026-06-12,https://sinofacts.com/companies/threatbook-io
ticktick-com,ticktick.com,TickTick,滴答清单,TickTick,ai-productivity,2013,,,,freemium,0.714,2026-06-12,https://sinofacts.com/companies/ticktick-com
timecho-com,timecho.com,Timecho,天谋科技,TimechoDB|TimechoAI|Apache IoTDB|Timecho Workbench|Timer,database,2021,"Beijing, China",,,enterprise,1.0,2026-06-12,https://sinofacts.com/companies/timecho-com
timeplus-com,timeplus.com,Timeplus,,Timeplus Enterprise|Timeplus Proton|Timeplus AgentGuard,data-infra,,,,,subscription,1.0,2026-06-12,https://sinofacts.com/companies/timeplus-com
tongtool-com,tongtool.com,Tongtool,通途ERP,通途ERP|通途Listing,ecommerce-saas,2010,,,China|Global,usage-based,1.0,2026-06-12,https://sinofacts.com/companies/tongtool-com
tool4seller-com,tool4seller.com,Tool4seller,点金数据通,Tool4seller,ecommerce-saas,2017,,,Global,subscription,1.0,2026-06-12,https://sinofacts.com/companies/tool4seller-com
topmediai-com,topmediai.com,TopMediai,TopMediai,TopMediai,ai-audio,2022,,,Global,freemium,0.909,2026-06-12,https://sinofacts.com/companies/topmediai-com
topon-com,topon.com,TopON,,Portable power stations|Power banks|Solar panels|Chargers,other,2005,Hong Kong,EAC|CE|RoHS|FCC|ISO9001,Russia|CIS,unknown,0.7,2026-06-12,https://sinofacts.com/companies/topon-com
topview-ai,topview.ai,Topview AI,特看科技,Topview AI|Video Agent|AI Product Video|AI Avatar|AI Ads Video,ai-video,,Singapore,,,freemium,0.8,2026-06-12,https://sinofacts.com/companies/topview-ai
trackingmore-com,trackingmore.com,TrackingMore,,Multi-Carrier Tracking API|Air Cargo Tracking|Shopify Order Tracking,logistics-saas,,,,Global,freemium,0.917,2026-06-12,https://sinofacts.com/companies/trackingmore-com
transwarp-io,transwarp.io,Transwarp,,ArgoDB|Sophon|Transwarp Data Hub|TDC|TDS|Slipstream|TimeLyre|Inceptor,data-infra,,,,,unknown,1.0,2026-06-13,https://sinofacts.com/companies/transwarp-io
trickle-so,trickle.so,Trickle,Trickle,Trickle,design-saas,,,,,freemium,0.636,2026-06-12,https://sinofacts.com/companies/trickle-so
tripo3d-ai,tripo3d.ai,Tripo AI,,Tripo Studio|Tripo API|Tripo Game Hub|TripoSR,ai-image,2023,,,Global,freemium,0.909,2026-06-28,https://sinofacts.com/companies/tripo3d-ai
truewatch-com,truewatch.com,TrueWatch,观测云,TrueWatch,infrastructure,,,SOC 2,Global,usage-based,0.917,2026-06-12,https://sinofacts.com/companies/truewatch-com
tuya-com,tuya.com,Tuya Smart,涂鸦智能,Tuya Developer Platform|TuyaOS|MCU SDK,infrastructure,,,,Global,unknown,0.9,2026-06-12,https://sinofacts.com/companies/tuya-com
typora-io,typora.io,Typora,Typora,Typora,devtools,,,,,freemium,0.8,2026-06-12,https://sinofacts.com/companies/typora-io
ueeshop-com,ueeshop.com,Ueeshop,广州联雅网络科技有限公司,Ueeshop,ecommerce-saas,2007,"Guangzhou, China",,Global,,0.929,2026-06-12,https://sinofacts.com/companies/ueeshop-com
ultipa-com,ultipa.com,Ultipa,嬴图,Ultipa GQLDB|Ultipa Cloud|Ultipa Manager|Ultipa Graph Data Science|Ultipa Transporter|Ultipa CLI|Ultipa Drivers,database,2019,,SOC2,,freemium,0.846,2026-06-12,https://sinofacts.com/companies/ultipa-com
umu-com,umu.com,UMU,,UMU|UMU AI|UMU AI Tools|UMU AI Literacy,edtech,,,,Global,,0.75,2026-06-23,https://sinofacts.com/companies/umu-com
univer-ai,univer.ai,DreamNum,梦数科技,Univer|Univer Pro,devtools,,,,,freemium,0.909,2026-06-12,https://sinofacts.com/companies/univer-ai
updf-com,updf.com,UPDF,,UPDF,ai-productivity,,,,,freemium,0.875,2026-06-12,https://sinofacts.com/companies/updf-com
usadrop-com,usadrop.com,USAdrop,USAdrop,USAdrop,ecommerce-saas,2015,"Hangzhou, China",,Global|North America|Europe|Latin America|Australia,,0.867,2026-06-13,https://sinofacts.com/companies/usadrop-com
useepay-com,useepay.com,UseePay,UseePay,UseePay Cross-border Payment Platform,other,,,,Global,unknown,0.778,2026-06-12,https://sinofacts.com/companies/useepay-com
velodb-io,velodb.io,VeloDB (SelectDB),飞轮科技,VeloDB Cloud|VeloDB Enterprise|Apache Doris,database,,,,,usage-based,0.833,2026-06-12,https://sinofacts.com/companies/velodb-io
vidau-ai,vidau.ai,VidAU,VidAU,VidAU|AI Video|AI Image|AI Avatar|VidRemix|VidRemake|VidSnap,ai-video,,,,Global,unknown,0.889,2026-06-12,https://sinofacts.com/companies/vidau-ai
vidnoz-com,vidnoz.com,Vidnoz,,Vidnoz AI|Vidnoz Gen,other,,,ISO27001,Global,freemium,0.909,2026-06-13,https://sinofacts.com/companies/vidnoz-com
vidu-io,vidu.io,Vidu,生数科技,Personalized Video|Sales Memes,ai-video,,,,,subscription,0.818,2026-06-11,https://sinofacts.com/companies/vidu-io
viggle-ai,viggle.ai,Viggle AI,,Viggle|PINOC|Viggle Game Portal,ai-video,2023,"Toronto, Canada",,Global,freemium,1.0,2026-06-12,https://sinofacts.com/companies/viggle-ai
visionular-ai,visionular.ai,Visionular,微帧科技,Aurora1|Aurora4|Aurora5|AuroraImage|AuroraCloud|AuroraEnhancer,infrastructure,2018,"Los Altos, California, USA",,Global,usage-based,0.923,2026-06-12,https://sinofacts.com/companies/visionular-ai
vivago-ai,vivago.ai,Vivago,智象未来,Vivago,ai-video,,,,,free,0.857,2026-06-12,https://sinofacts.com/companies/vivago-ai
vizard-ai,vizard.ai,Vizard,,Vizard,ai-video,,,,,freemium,1.0,2026-06-12,https://sinofacts.com/companies/vizard-ai
vmlogin-com,vmlogin.com,VMLogin,安徽铁脚印网络科技有限公司,VMLogin,other,,"Hefei, China",,,subscription,0.727,2026-06-13,https://sinofacts.com/companies/vmlogin-com
voc-ai,voc.ai,VOC AI,,VOC AI|VOC AI Insight|Agent|API & MCP,other,2020,"Shenzhen, China",,,,0.615,2026-06-30,https://sinofacts.com/companies/voc-ai
voidzero-dev,voidzero.dev,VoidZero,VoidZero,Void|Vite+|Vite|Vitest|Rolldown|Oxc,devtools,,,,Global,unknown,1.0,2026-06-12,https://sinofacts.com/companies/voidzero-dev
voovmeeting-com,voovmeeting.com,VooV Meeting,腾讯会议海外版,VooV Meeting,enterprise-saas,,,,Global,unknown,1.0,2026-06-22,https://sinofacts.com/companies/voovmeeting-com
vozo-ai,vozo.ai,Vozo,,Vozo AI Video Translator,ai-video,,,SOC2|GDPR,Global,freemium,0.9,2026-06-12,https://sinofacts.com/companies/vozo-ai
wan-video,wan.video,Wan,通义万相,Wan AI,ai-video,,,,,,0.833,2026-06-12,https://sinofacts.com/companies/wan-video
webeye-com,webeye.com,WebEye,WebEye,TaurusX,martech,,Singapore,,Global,unknown,1.0,2026-06-13,https://sinofacts.com/companies/webeye-com
wegic-ai,wegic.ai,Wegic,,Wegic,ai-website-builder,,,,Global,freemium,0.875,2026-06-29,https://sinofacts.com/companies/wegic-ai
weshop-ai,weshop.ai,WeShop AI,唯象,WeShop AI,ai-image,,,,Global,freemium,1.0,2026-06-12,https://sinofacts.com/companies/weshop-ai
whaleops-io,whaleops.io,WhaleOps,白鲸开源,WhaleStudio|WhaleScheduler|WhaleTunnel,data-infra,,,,,unknown,0.857,2026-06-12,https://sinofacts.com/companies/whaleops-io
wiz-ai,wiz.ai,WIZ.AI,,WIZ Platform|WIZ Engage|WIZ SmartAgent|WIZ Insights,crm,,,SOC2|PCI-DSS,Singapore|Indonesia|Philippines|Thailand|Malaysia|Brazil|Mexico|United States,unknown,0.909,2026-06-12,https://sinofacts.com/companies/wiz-ai
wondershare-com,wondershare.com,Wondershare,万兴科技,Filmora|UniConverter|PDFelement|Recoverit|Dr.Fone|EdrawMax,design-saas,2003,,,Global,unknown,1.0,2026-06-28,https://sinofacts.com/companies/wondershare-com
worldfirst-com,worldfirst.com,WorldFirst,万里汇,World Account|World Card|WorldTrade,fintech-saas,2004,"London, United Kingdom",,Global,unknown,0.867,2026-06-12,https://sinofacts.com/companies/worldfirst-com
wps-com,wps.com,Kingsoft Office Software Inc.,金山办公,WPS Office,enterprise-saas,1988,,,Global,free,1.0,2026-06-22,https://sinofacts.com/companies/wps-com
xmind-com,xmind.com,Xmind,XMind,Xmind,ai-productivity,,,ISO/IEC 27001|SOC 2 Type II,,,0.692,2026-06-12,https://sinofacts.com/companies/xmind-com
xorbits-io,xorbits.io,Xorbits,,Xorbits,other,,,,,unknown,0.714,2026-06-12,https://sinofacts.com/companies/xorbits-io
xtransfer-com,xtransfer.com,XTransfer,XTransfer,XTransfer,fintech-saas,2017,"Shanghai, China",,Global,freemium,0.917,2026-06-12,https://sinofacts.com/companies/xtransfer-com
ycloud-com,ycloud.com,YCloud,YCloud,YCloud,martech,,,ISO27001,Global,freemium,1.0,2026-06-12,https://sinofacts.com/companies/ycloud-com
yonyou-com,yonyou.com,Yonyou,用友,Yonyou BIP|YonSuite|YonGPT,enterprise-saas,1988,"Beijing, China",ISO27001|C-STAR,Global,unknown,1.0,2026-06-11,https://sinofacts.com/companies/yonyou-com
youmind-com,youmind.com,YouMind,,YouMind,ai-writing,,,,Global,freemium,0.818,2026-06-12,https://sinofacts.com/companies/youmind-com
youware-com,youware.com,YouWare,,YouWare,ai-coding,,,,,unknown,0.625,2026-06-12,https://sinofacts.com/companies/youware-com
yuansfer-com,yuansfer.com,Yuansfer,Yuansfer,Pockyt,fintech-saas,,"New York, USA",SOC2|PCI-DSS,Global,unknown,0.833,2026-06-13,https://sinofacts.com/companies/yuansfer-com
z-ai,z.ai,Zhipu AI,智谱AI,Z.ai,ai-llm,,,,,free,0.857,2026-06-15,https://sinofacts.com/companies/z-ai
zeemo-ai,zeemo.ai,Zeemo,绘影字幕,Zeemo AI,ai-video,,,,Global,subscription,0.818,2026-06-12,https://sinofacts.com/companies/zeemo-ai
zegocloud-com,zegocloud.com,ZEGOCLOUD,即构科技,Video Call|Voice Call|Live Streaming|In-app Chat|Cloud Recording,infrastructure,,,,Global,usage-based,0.909,2026-06-12,https://sinofacts.com/companies/zegocloud-com
zenlayer-com,zenlayer.com,Zenlayer,,Distributed Inference|AI Gateway|Fabric for AI|Bare Metal|Elastic Compute|Cloud Connect|Cloud Router|Private Connect|Virtual Edge|Global Accelerator|CDN|IP Transit|Edge Colocation,infrastructure,2014,"Los Angeles, US",SOC2|ISO27001,Global,usage-based,0.909,2026-06-12,https://sinofacts.com/companies/zenlayer-com
zhipuai-cn,zhipuai.cn,Zhipu AI,智谱AI,GLM|GLM-5.2|GLM-5V-Turbo|GLM-5-Turbo|AutoGLM|ChatGLM|AutoClaw|Z.ai|AMiner,ai-llm,,"Beijing, China",,,freemium,1.0,2026-06-25,https://sinofacts.com/companies/zhipuai-cn
zilliz-com,zilliz.com,Zilliz,,Zilliz Cloud|Milvus,database,,,,,freemium,0.8,2026-06-11,https://sinofacts.com/companies/zilliz-com
ziniao-com,ziniao.com,,紫鸟浏览器,,other,,,,Global,unknown,0.6,2026-06-12,https://sinofacts.com/companies/ziniao-com
zmo-ai,zmo.ai,ZMO.AI,感知阶跃,,ai-image,,,,,unknown,0.75,2026-06-11,https://sinofacts.com/companies/zmo-ai
zwsoft-com,zwsoft.com,ZWSOFT,,ZWCAD Flex|ZW3D,other,1998,"Guangzhou, China",,Global,subscription,0.75,2026-06-13,https://sinofacts.com/companies/zwsoft-com
